id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs,vehicle_group,distance_km,travel_time_min,CO2_g,CO2_kg,fuel_g,fuel_kg,CO2_kg_per_km,fuel_kg_per_km,service_time_s,driving_time_min,hub
T_SPAR_01,720.0,878811131_0,12.1,0.0,0.0,1762.0,314035730_0,367.96,19.47,1042.0,3179.49,92.0,6,600.0,184.1,0,tripinfo_T_SPAR_01 emissions_T_SPAR_01,truck_euro6,1.0,,,8930.55,5818323.43,0.0,1137.89,52801.24,1830252.24,0.0,logistics_truck,3.17949,17.366666666666667,5818.3234299999995,5.8183234299999995,1830.25224,1.83025224,1.8299549393141665,0.5756433390260702,600.0,7.366666666666666,SPAR
T_ROS34_01,800.0,878811131_0,12.1,0.0,0.0,1847.0,314035730_0,367.96,19.47,1047.0,3304.78,86.0,4,600.0,175.14,0,tripinfo_T_ROS34_01 emissions_T_ROS34_01,truck_euro6,1.02,,,9291.02,6150276.28,0.0,1175.16,55267.8,1934677.45,0.0,logistics_truck,3.30478,17.45,6150.27628,6.15027628,1934.67745,1.93467745,1.8610244191746501,0.5854179249450795,600.0,7.45,Roswell3&4
T_ROS2_01,900.0,314035730_0,12.1,0.0,0.0,2014.0,878811131_0,176.35,13.66,1114.0,3972.79,67.0,4,600.0,184.86,0,tripinfo_T_ROS2_01 emissions_T_ROS2_01,truck_euro6,1.02,,,10736.83,7146489.02,0.0,1352.66,63854.67,2248051.72,0.0,logistics_truck,3.97279,18.566666666666666,7146.48902,7.14648902,2248.0517200000004,2.2480517200000003,1.7988589933019365,0.5658622076676594,600.0,8.566666666666666,Roswell2
T_TGW_01,807.0,314035730_0,12.1,0.0,7.0,2104.0,878811131_0,176.35,14.01,1297.0,4407.31,155.0,6,600.0,314.21,0,tripinfo_T_TGW_01 emissions_T_TGW_01,truck_euro6,1.01,,,13596.44,8768065.16,0.0,1743.72,80335.94,2758146.0,0.0,logistics_truck,4.407310000000001,21.616666666666667,8768.06516,8.76806516,2758.146,2.758146,1.989436903689552,0.6258116628964152,600.0,11.616666666666667,TGW
T_UCS_01,800.0,314035730_0,12.1,0.0,0.0,2107.0,878811131_0,176.35,13.83,1307.0,4483.77,167.0,7,600.0,340.65,0,tripinfo_T_UCS_01 emissions_T_UCS_01,truck_euro6,1.02,,,14048.21,9122542.34,0.0,1796.66,83272.81,2869656.52,0.0,logistics_truck,4.483770000000001,21.783333333333335,9122.54234,9.122542339999999,2869.65652,2.86965652,2.034569645633027,0.6400097507231637,600.0,11.783333333333333,UCS
T_ROS34_02,1600.0,314035730_0,12.1,0.0,0.0,2642.0,878811131_0,176.35,12.88,1042.0,3657.44,35.0,1,600.0,112.53,0,tripinfo_T_ROS34_02 emissions_T_ROS34_02,truck_euro6,0.95,,,9211.62,6203990.88,0.0,1151.61,54844.53,1951571.03,0.0,logistics_truck,3.6574400000000002,17.366666666666667,6203.99088,6.20399088,1951.57103,1.95157103,1.6962659346428102,0.5335893493809878,600.0,7.366666666666666,Roswell3&4
T_UCS_02,1600.0,878811131_0,12.1,0.0,0.0,2705.0,314035730_0,367.96,17.33,1105.0,4112.04,34.0,2,600.0,122.16,0,tripinfo_T_UCS_02 emissions_T_UCS_02,truck_euro6,0.9,,,10348.08,6918145.39,0.0,1298.4,61445.34,2176218.75,0.0,logistics_truck,4.11204,18.416666666666668,6918.14539,6.918145389999999,2176.21875,2.17621875,1.6824119877238546,0.5292309291738406,600.0,8.416666666666666,UCS
T_SPAR_02,1440.0,314035730_0,12.1,0.0,0.0,2731.0,878811131_0,176.35,13.56,1291.0,4099.13,175.0,11,600.0,362.23,0,tripinfo_T_SPAR_02 emissions_T_SPAR_02,truck_euro6,0.98,,,13374.74,8517279.29,0.0,1727.3,78843.33,2679257.19,0.0,logistics_truck,4.09913,21.516666666666666,8517.279289999999,8.51727929,2679.25719,2.67925719,2.0778260972450253,0.653616057553676,600.0,11.516666666666667,SPAR
T_TGW_02,1606.0,878811131_0,12.1,0.0,6.0,2834.0,314035730_0,367.96,19.63,1228.0,4025.57,160.0,6,600.0,281.48,0,tripinfo_T_TGW_02 emissions_T_TGW_02,truck_euro6,1.03,,,12856.27,8355262.17,0.0,1643.65,76232.73,2628295.32,0.0,logistics_truck,4.02557,20.466666666666665,8355.26217,8.35526217,2628.2953199999997,2.62829532,2.075547604438626,0.6529001656908214,600.0,10.466666666666667,TGW
T_ROS2_02,1800.0,878811131_0,12.1,0.0,0.0,2942.0,314035730_0,367.96,20.21,1142.0,3639.83,109.0,8,600.0,254.14,0,tripinfo_T_ROS2_02 emissions_T_ROS2_02,truck_euro6,1.05,,,10753.79,7022310.45,0.0,1370.96,63810.09,2208991.44,0.0,logistics_truck,3.63983,19.033333333333335,7022.31045,7.02231045,2208.99144,2.20899144,1.929296272078641,0.6068941241761292,600.0,9.033333333333333,Roswell2
