id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs,vehicle_group,distance_km,travel_time_min,CO2_g,CO2_kg,fuel_g,fuel_kg,CO2_kg_per_km,fuel_kg_per_km,service_time_s,driving_time_min,hub
T_SPAR_01,720.0,878811131_0,12.1,0.0,0.0,1701.0,314035730_0,367.96,19.24,981.0,3195.48,35.0,2,600.0,116.94,0,tripinfo_T_SPAR_01 emissions_T_SPAR_01,truck_euro6,1.0,,,7992.29,5432514.83,0.0,995.54,47819.35,1708893.5,0.0,logistics_truck,3.19548,16.35,5432.51483,5.43251483,1708.8935,1.7088935,1.7000622222639479,0.5347846020003255,600.0,6.35,SPAR
T_ROS34_01,800.0,878811131_0,12.1,0.0,0.0,1838.0,314035730_0,367.96,19.47,1038.0,3341.92,72.0,2,600.0,159.38,0,tripinfo_T_ROS34_01 emissions_T_ROS34_01,truck_euro6,1.02,,,9368.49,6274232.08,0.0,1177.17,55875.93,1973670.32,0.0,logistics_truck,3.34192,17.3,6274.23208,6.27423208,1973.6703200000002,1.97367032,1.8774333556757792,0.5905797625317183,600.0,7.3,Roswell3&4
T_TGW_01,806.0,314035730_0,12.1,0.0,6.0,1924.0,878811131_0,176.35,13.91,1118.0,4430.09,30.0,1,600.0,127.73,0,tripinfo_T_TGW_01 emissions_T_TGW_01,truck_euro6,1.01,,,11145.18,7563255.86,0.0,1387.85,66521.28,2379152.47,0.0,logistics_truck,4.43009,18.633333333333333,7563.25586,7.56325586,2379.15247,2.37915247,1.7072465480385275,0.5370438230374552,600.0,8.633333333333333,TGW
T_ROS2_01,900.0,314035730_0,12.1,0.0,0.0,1927.0,878811131_0,176.35,13.77,1027.0,3830.04,19.0,1,600.0,117.03,0,tripinfo_T_ROS2_01 emissions_T_ROS2_01,truck_euro6,1.02,,,9676.4,6729657.04,0.0,1191.5,58403.49,2116937.94,0.0,logistics_truck,3.83004,17.116666666666667,6729.65704,6.72965704,2116.93794,2.11693794,1.7570722603419286,0.552719538177147,600.0,7.116666666666666,Roswell2
T_UCS_01,800.0,314035730_0,12.1,0.0,0.0,1930.0,878811131_0,176.35,13.81,1130.0,4506.55,30.0,3,600.0,155.01,0,tripinfo_T_UCS_01 emissions_T_UCS_01,truck_euro6,1.02,,,11758.58,8050178.42,0.0,1459.55,70553.88,2532328.07,0.0,logistics_truck,4.50655,18.833333333333332,8050.17842,8.05017842,2532.32807,2.5323280699999997,1.786328437496533,0.5619216629128713,600.0,8.833333333333334,UCS
T_SPAR_02,1442.0,314035730_0,12.1,0.0,2.0,2465.0,878811131_0,176.35,13.37,1023.0,3737.82,6.0,3,600.0,106.31,0,tripinfo_T_SPAR_02 emissions_T_SPAR_02,truck_euro6,0.98,,,9171.89,6310809.97,0.0,1135.01,55090.22,1985178.52,0.0,logistics_truck,3.73782,17.05,6310.809969999999,6.310809969999999,1985.17852,1.98517852,1.6883664729708758,0.53110597086002,600.0,7.05,SPAR
T_ROS34_02,1600.0,314035730_0,12.1,0.0,0.0,2645.0,878811131_0,176.35,13.17,1045.0,3975.64,12.0,2,600.0,124.74,0,tripinfo_T_ROS34_02 emissions_T_ROS34_02,truck_euro6,0.95,,,9536.94,6581796.46,0.0,1178.89,57388.24,2070423.8,0.0,logistics_truck,3.97564,17.416666666666668,6581.79646,6.58179646,2070.4238,2.0704238,1.6555313006207806,0.5207774848829371,600.0,7.416666666666667,Roswell3&4
T_UCS_02,1600.0,878811131_0,12.1,0.0,0.0,2686.0,314035730_0,367.96,17.11,1086.0,4137.3,4.0,1,600.0,96.03,0,tripinfo_T_UCS_02 emissions_T_UCS_02,truck_euro6,0.9,,,10297.59,6951814.61,0.0,1284.36,61244.71,2186809.52,0.0,logistics_truck,4.1373,18.1,6951.81461,6.9518146100000004,2186.80952,2.18680952,1.680278106494574,0.5285595726681653,600.0,8.1,UCS
T_TGW_02,1607.0,878811131_0,12.1,0.0,7.0,2708.0,314035730_0,367.96,19.65,1101.0,4039.07,47.0,3,600.0,147.13,0,tripinfo_T_TGW_02 emissions_T_TGW_02,truck_euro6,1.03,,,10618.45,7169242.07,0.0,1327.81,63432.08,2255211.43,0.0,logistics_truck,4.039070000000001,18.35,7169.24207,7.16924207,2255.2114300000003,2.25521143,1.7749734641885382,0.5583491818661226,600.0,8.35,TGW
T_ROS2_02,1800.0,878811131_0,12.1,0.0,0.0,2825.0,314035730_0,367.96,20.3,1025.0,3663.14,36.0,2,600.0,129.33,0,tripinfo_T_ROS2_02 emissions_T_ROS2_02,truck_euro6,1.05,,,9267.1,6317798.71,0.0,1151.83,55445.99,1987374.38,0.0,logistics_truck,3.66314,17.083333333333332,6317.79871,6.31779871,1987.37438,1.9873743799999999,1.7246948546875085,0.5425330126612687,600.0,7.083333333333333,Roswell2
T_SPAR_03,2160.0,878811131_0,12.1,0.0,0.0,3125.0,314035730_0,367.96,19.86,965.0,3195.48,34.0,2,600.0,107.15,0,tripinfo_T_SPAR_03 emissions_T_SPAR_03,truck_euro6,1.03,,,8019.01,5467958.76,0.0,995.64,47906.23,1720040.59,0.0,logistics_truck,3.19548,16.083333333333332,5467.9587599999995,5.46795876,1720.04059,1.72004059,1.711154117691239,0.5382729949804098,600.0,6.083333333333333,SPAR
T_ROS34_03,2400.0,878811131_0,12.1,0.0,0.0,3411.0,314035730_0,367.96,20.22,1011.0,3341.92,29.0,4,600.0,137.6,0,tripinfo_T_ROS34_03 emissions_T_ROS34_03,truck_euro6,1.04,,,8803.91,6014773.23,0.0,1095.33,52892.56,1892056.94,0.0,logistics_truck,3.34192,16.85,6014.773230000001,6.01477323,1892.05694,1.89205694,1.7997956952889358,0.5661586572987983,600.0,6.85,Roswell3&4
T_TGW_03,2407.0,314035730_0,12.1,0.0,7.0,3544.0,878811131_0,176.35,13.77,1137.0,4430.09,32.0,3,600.0,149.34,0,tripinfo_T_TGW_03 emissions_T_TGW_03,truck_euro6,1.02,,,11600.81,7887166.49,0.0,1445.62,69475.86,2481049.0,0.0,logistics_truck,4.43009,18.95,7887.1664900000005,7.88716649,2481.049,2.481049,1.780362586313145,0.560044829789011,600.0,8.95,TGW
